Provider Name,City,State,ZIP,Payment,Rural Location
CITY OF KENAI,KENAI,AK,996117750,"$   30,691.03",YES
CITY OF SEWARD,SEWARD,AK,996640430,"$   170,628.29",YES
CITY OF VALDEZ,VALDEZ,AK,996860550,"$   175,407.51",YES
"CLEAR DENTAL, LLC",ANCHORAGE,AK,995043132,$   500.00,NO
"CODI, INC.",PALMER,AK,996451907,"$   31,232.40",YES
COMMUNITY CONNECTIONS,KETCHIKAN,AK,999016632,"$   82,834.33",YES
COMPASSIONATE & EFFECTIVE CARE,ANCHORAGE,AK,995200574,$   500.00,NO
COOPER LANDING EMERGENCY SERVICES INC,COOPER LANDING,AK,995720510,$   500.00,YES
CORDOVA COMMUNITY HOSPITAL,CORDOVA,AK,995740160,"$   84,506.85",YES
CREED K MAMIKUNIAN MD,ANCHORAGE,AK,995085228,$   500.00,NO
CREED MAMIKUNIAN,ANCHORAGE,AK,995085228,$   500.00,NO
CROSS ROAD HEALTH MINISTRIES INC,GLENNALLEN,AK,995880589,"$   47,819.18",YES
CROSSROADS COUNSELING & TRAINING SERVICES,FAIRBANKS,AK,997082074,$   844.64,NO
"DAY SPRING ASSISTED LIVING HOME, LLC.",ANCHORAGE,AK,995171632,"$   1,689.27",NO
DENALI PHYSICAL THERAPY LIMITED PARTNERSHIP,PALMER,AK,996456665,$   804.32,YES
"DIALYSIS SERVICES OF SOUTHEAST ALASKA, LLC",JUNEAU,AK,998017136,"$   22,562.23",YES
DIMOND CHIROPRACTIC LLC,ANCHORAGE,AK,995151515,$   500.00,YES
DISCOVER CHIROPRACTIC INC,FAIRBANKS,AK,997014007,$   500.00,YES
"DR MAN'S DENTAL GROUP, INC.",ANCHORAGE,AK,995073848,$   500.00,NO
DR PETER LAWRASON PC,FAIRBANKS,AK,997015937,$   500.00,YES
DR. JOSEPH WANG,WASILLA,AK,996547184,"$   2,560.32",YES
"DR. MICHAEL P. MORIARTY, P.C.",SEWARD,AK,996640710,"$   6,389.85",YES
EAGLE RIVER VISION CLINIC INC,EAGLE RIVER,AK,995777753,"$   1,604.43",YES
EARTHSONG INTEGRATIVE MEDICINE AND MIDWIFERY LLC,JUNEAU,AK,998020176,$   500.00,YES
"EASTERN ALEUTIAN TRIBES, INC.",ANCHORAGE,AK,995033949,"$   14,983.14",YES
EDWARD C GODNIG,WASILLA,AK,996547039,$   511.26,YES
ELENAS PLACE II CORP.,ANCHORAGE,AK,99515,$   500.00,NO
EMPOWER MEDICAL AND WELLNESS,PALMER,AK,996456967,$   500.00,YES
EXCEL PHYSICAL THERAPY LIMITED PARTNERSHIP,PALMER,AK,996456665,"$   23,947.20",YES
FAIRBANKS COMMUNITY MENTAL HEALTH SERVICES LLC,ANCHORAGE,AK,995085321,"$   17,897.26",NO
"FAR NORTH EYE CARE, LLC",ANCHORAGE,AK,995035774,"$   13,940.12",NO
"FOOTHILLS DENTISTRY ALASKA, LLC",ANCHORAGE,AK,995085200,"$   5,798.54",YES
FOUR CORNERS DENTAL GROUP FAIRBANKS,FAIRBANKS,AK,997094761,"$   22,561.71",NO
"FRANKLIN TODD WORTHAM DDS, LLC",KENAI,AK,996117836,"$   4,887.31",YES
"FRESENIUS MEDICAL CARE SOLDOTNA, LLC",SOLDOTNA,AK,996697570,"$   35,723.53",YES
"FRESENIUS MEDICAL CARE SOUTHWEST ANCHORAGE, LLC",ANCHORAGE,AK,995025348,"$   27,262.70",YES
GENEVA WOODS SURGICAL CENTER INC,ANCHORAGE,AK,995085054,"$   19,200.84",YES
'GENTLE DENTISTRY' JENNIFER SPIVEY DDS,KODIAK,AK,99615,"$   7,203.45",YES
"GLACIER DENTAL, LLC",ANCHORAGE,AK,995071128,"$   4,382.81",NO
GLACIER FAMILY MEDICINE CLINIC LLC,SEWARD,AK,996649708,"$   8,278.65",YES
"GLACIER PEDIATRICS, LLC",JUNEAU,AK,998011430,"$   9,766.44",YES
"GOLDEN AGERS HOMECARE, LLC",WASILLA,AK,996548127,$   844.64,YES
"GOOD GRACE ASSISTED LIVING HOME,LLC",ANCHORAGE,AK,995083821,$   844.64,NO
"HAPPY DAY TRANSPORTATION, INC",ANCHORAGE,AK,995044910,$   500.00,NO
HAPPY VALLEY ASSISTED LIVING LLC,ANCHOR POINT,AK,995560414,"$   2,533.91",YES
"HEALTH COURT FOODS,INC.",ANCHORAGE,AK,995183141,"$   1,689.27",NO
HEARTS & HANDS OF CARE INC.,ANCHORAGE,AK,995073754,"$   66,726.18",YES
HEIDI YOUNG,KETCHIKAN,AK,999016649,"$   87,402.69",YES
HEIRLOOM WELLNESS & BIRTH LLC,PALMER,AK,996455940,"$   1,990.14",YES
HERITAGE HOME,ANCHORAGE,AK,995231253,$   844.64,NO
HIBISCUS ASSISTED LIVING HOME LLC,ANCHORAGE,AK,995083771,$   844.64,NO
HOMER BIRTH AND WELLNESS CENTER,HOMER,AK,996032982,"$   3,119.72",YES
HOMER EYECARE LLC,HOMER,AK,996037663,"$   15,148.84",YES
HOPE COMMUNITY RESOURCES INC,ANCHORAGE,AK,995181105,"$   81,265.23",YES
"ICARE ASSISTED LIVING HOME, LLC.",ANCHORAGE,AK,995044319,$   500.00,NO
ILIULIUK FAMILY AND HEALTH SERVICES INC,UNALASKA,AK,996850144,"$   6,540.43",YES
INFINITE CARE OF ALASKA LLC,ANCHORAGE,AK,995110154,"$   3,271.39",YES
INFINITE OPTIONS CARE COORDINATION SERVICES LLC,FAIRBANKS,AK,997074870,"$   21,969.53",NO
INTERIOR CARE COORDINATION LLC,NORTH POLE,AK,997050130,"$   2,676.19",YES
INTERNAL MEDICINE ASSOCIATES LLC,ANCHORAGE,AK,995082945,"$   29,106.96",YES
ISLAND CARE SERVICES LLC,KETCHIKAN,AK,999500550,"$   71,180.79",YES
JAMIEZON ALH,ANCHORAGE,AK,995043517,$   500.00,NO
"JASON M. LANE DDS, LLC",WASILLA,AK,996548561,"$   3,346.23",YES
JUNEAU EMERGENCY MEDICAL ASSOCIATES INC,JUNEAU,AK,998020150,"$   60,445.97",YES
JUNEAU MOBILE THERAPY LLC,JUNEAU,AK,998019441,"$   1,340.96",YES
JUNEAU PEDIATRIC DENTISTRY,JUNEAU,AK,998019304,"$   24,663.25",YES
JUNEAU SPINE AND PAIN CENTER LLC,JUNEAU,AK,998017808,"$   12,808.76",YES
"JUST KIDS, INC",ANCHORAGE,AK,995042030,"$   13,825.22",NO
KAMALANI ASSISTED LIVING HOME,ANCHORAGE,AK,995082323,$   500.00,NO
K-BEACH MEDICAL INC,SOLDOTNA,AK,996692037,"$   8,632.10",YES
KEEN EYE CARE ASSISTED LIVING INC,SOLDOTNA,AK,996697831,"$   1,266.95",YES
KENAI SPINE LLC,SOLDOTNA,AK,996692509,"$   14,554.01",YES
KENAITZE INDIAN TRIBE,KENAI,AK,996118026,"$   86,599.38",YES
KETCHIKAN INDIAN CORPORATION,KETCHIKAN,AK,999015742,"$   47,479.54",YES
KRISTINA M JAMES,SOLDOTNA,AK,996697936,"$   1,400.11",YES
"LACUNA FAMILY MEDICINE, INC.",SEWARD,AK,996642816,$   540.58,YES
LEGACY HEALTH CLINIC LLC,KETCHIKAN,AK,999015635,"$   3,928.28",YES
LIFEMED ALASKA LLC,ANCHORAGE,AK,995020903,"$   177,071.39",YES
"LILY POND ALH, LLC",ANCHORAGE,AK,995072169,$   844.64,NO
LLOYD CHIROPRACTIC PC,ANCHORAGE,AK,995163534,$   500.00,YES
MANIILAQ ASSOCIATION,KOTZEBUE,AK,997520043,"$   993,125.43",YES
MAPLE SPRINGS OF WASILLA SNF HOLDINGS LLC,WASILLA,AK,996547294,"$   120,273.40",YES
MARK E RICHEY MD PC,ANCHORAGE,AK,995082969,"$   1,102.94",YES
"MARY ANN JACOB, M.D., LLC",ANCHORAGE,AK,995082958,$   500.00,NO
MARY P DEMERS DO & ASSOCIATES LLC,ANCHORAGE,AK,995084691,$   500.00,YES
MAT-SU HEALTH SERVICES INC.,WASILLA,AK,996545327,"$   178,676.59",YES
MAT-SU SERVICES FOR CHILDREN & ADULTS,WASILLA,AK,996547718,"$   72,275.88",YES
MAT-SU VALLEY MEDICAL CENTER LLC,PALMER,AK,996458984,"$   4,757,372.95",YES
MELANIE ANN HANSEN,PALMER,AK,996458971,$   500.00,YES
MOOSE CREEK MEDICAL CLINIC LLC,WASILLA,AK,996548627,"$   8,760.98",YES
MULDOON DEVELOPMENT PARTNERS LLC,ANCHORAGE,AK,995071135,"$   19,741.95",YES
NATALIE J BEYELER DO,ANCHORAGE,AK,995241769,"$   3,981.03",YES
NATIVE VILLAGE OF EYAK,CORDOVA,AK,995742290,"$   17,350.47",YES
NORDIC LIVING,HOMER,AK,996032425,"$   1,266.95",YES
NORTHBRIDGE LLC,ANCHORAGE,AK,995231430,$   500.00,NO
NORTON SOUND HEALTH CORPORATION,NOME,AK,997620966,"$   1,154,417.15",YES
OPTIMUM HEALTH AND WELLNESS PHYSICAL THERAPY INC,KETCHIKAN,AK,999015559,"$   9,718.16",YES
"PACIFIC PEDIATRICS, LLC",WARD COVE,AK,999289800,$   543.99,YES
PCR ALASKA LLC,ANCHORAGE,AK,995241224,$   844.64,NO
PENINSULA COMMUNITY HEALTH SERVICES OF ALASKA INC,SOLDOTNA,AK,996692949,"$   165,959.56",YES
"PETERSBURG DENTAL, INC.",PETERSBURG,AK,998330469,"$   6,301.90",YES
PHILIP J LATTEIER DDS LLC,ANCHORAGE,AK,995084643,$   500.00,NO
PM PEDIATRICS OF ALASKA,ANCHORAGE,AK,995034166,"$   3,049.53",NO
PROVIDENCE HEALTH & SERVICES - WASHINGTON,ANCHORAGE,AK,995084665,"$   3,619.74",NO
PROVIDENCE HEALTH & SERVICES WASHINGTON,ANCHORAGE,AK,995084683,"$   47,163.75",YES
PROVIDENCE HEALTH & SERVICES WASHINGTON,KODIAK,AK,996156602,"$   630,637.42",YES
PROVIDENCE HEALTH & SERVICES WASHINGTON,ANCHORAGE,AK,995084619,"$   3,511,296.93",YES
PROVIDENCE HEALTH & SERVICES WASHINGTON,ANCHORAGE,AK,995044665,"$   68,551.28",YES
PROVIDENCE HEALTH & SERVICES WASHINGTON,ANCHORAGE,AK,995084683,"$   22,486.54",YES
PROVIDENCE HEALTH & SERVICES-WASHINGTON,ANCHORAGE,AK,995085323,"$   2,956.22",NO
PROVIDENCE IMAGING CENTER,ANCHORAGE,AK,995084663,"$   29,255.47",YES
REACH INC,JUNEAU,AK,99801,"$   61,319.11",YES
REAL TIME INC,WASILLA,AK,996546569,"$   4,328.36",YES
RENAL CARE GROUP ALASKA (FAIRBANKS) LLC,FAIRBANKS,AK,997014007,"$   12,221.21",YES
"RENAL CARE GROUP ALASKA, INC.",ANCHORAGE,AK,995085333,"$   42,304.19",YES
RENAL CARE GROUP WASILLA LLC,WASILLA,AK,996547270,"$   69,566.87",YES
"RESIDENTIAL YOUTH CARE, INC.",KETCHIKAN,AK,999012475,"$   14,676.86",YES
RESTORE INCORPORATED,FAIRBANKS,AK,997073004,"$   5,334.46",NO
"RIVER CITY DENTAL, INC.",KENAI,AK,996111510,"$   9,263.99",YES
"RIVER HEALTH & WELLNESS, LLC",SOLDOTNA,AK,996696804,"$   2,743.57",YES
RUSSELL DEGROOTE MD PC,WARD COVE,AK,999281099,"$   1,145.96",YES
"RYAN P. ERSLAND, D.M.D. LLC",ANCHORAGE,AK,995032838,$   500.00,NO
SAINT PIO ASSISTED LIVING HOME LLC,ANCHORAGE,AK,995044729,$   500.00,NO
"SAMEER KAPIL, DMD, LLC",WASILLA,AK,996547176,"$   18,233.07",YES
SCOTT INNES MD PC,SOLDOTNA,AK,996697559,"$   16,596.49",YES
SELDOVIA VILLAGE TRIBE,HOMER,AK,996037201,"$   34,886.98",YES
"SENIOR CITIZENS OF KODIAK, INC.",KODIAK,AK,996156341,"$   8,868.67",YES
SITKA COUNSELING & PREVENTION SERVICES INC,SITKA,AK,998357666,"$   37,628.37",YES
SOUTH ANCHORAGE DENTAL CENTER,ANCHORAGE,AK,995025390,"$   3,028.21",NO
SOUTH PENINSULA BEHAVIORAL HEALTH SERVICES INC,HOMER,AK,996037708,"$   77,187.48",YES
SOUTH PENINSULA HOSPITAL INC,HOMER,AK,996037005,"$   1,464,578.73",YES
SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,JUNEAU,AK,998017837,"$   2,258,739.32",YES
SOUTHEAST URGENT CARE INCORPORATED,JUNEAU,AK,998016921,"$   16,844.83",YES
SPALDING DENTAL LLC,ANCHORAGE,AK,995085729,$   651.46,NO
SUMMIT CHIROPRACTIC LLC,FAIRBANKS,AK,997013126,$   500.00,NO
"SUNRISE ASSISTED LIVING FACILITY, LLC",KODIAK,AK,996158653,"$   2,533.91",YES
SUNSHINE COMMUNITY HEALTH CENTER INC,TALKEETNA,AK,996769701,"$   60,727.70",YES
"SURGERY CENTER OF WASILLA, LLC",WASILLA,AK,996547422,"$   112,406.39",YES
TASHIA AMSTISLAVSKI MA LCSW LLC,ANCHORAGE,AK,995141421,$   500.00,NO
TERRY J. PREECE DDS PC,ANCHORAGE,AK,995153507,$   555.42,NO
THE PETERSBURG MEDICAL CENTER,PETERSBURG,AK,998330589,"$   257,611.77",YES
TRUA HEALTH & WELLNESS,ANCHORAGE,AK,995024251,$   500.00,YES
TRUE NORTH RECOVERY INC,WASILLA,AK,996875032,"$   27,178.30",YES
TURNAGAIN SOCIAL CLUB,ANCHORAGE,AK,995171848,"$   9,748.59",NO
URGENT CARE AT LAKE LUCILLE INC,WASILLA,AK,996547038,"$   25,434.17",YES
"VALLEY CHIROPRACTIC CLINIC, INC",WASILLA,AK,996547018,"$   2,232.63",YES
VILLAGE EYE WEAR INC,ANCHORAGE,AK,995034019,$   686.62,NO
WASILLA PHYSICAL THERAPY INC.,WASILLA,AK,99654,"$   10,655.39",YES
WENTZ ORTHODONTICS,FAIRBANKS,AK,997093646,$   521.59,NO
WILDFLOWER COURT INC,JUNEAU,AK,998017801,"$   150,863.47",YES
WILLIAM D PFEIFER DC,KETCHIKAN,AK,999015765,$   500.00,YES
WISE PHYSICAL THERAPY AND REHABILITATION INC.,ANCHORAGE,AK,995082986,$   761.29,YES
YIM CORPORATION,ANCHORAGE,AK,995211925,$   500.00,YES
20 20 EYECARE INC,CLANTON,AL,35045,"$   13,594.90",YES
211 213 ANA DRIVE OPERATIONS LLC,FLORENCE,AL,356301768,"$   48,615.11",NO
2215 NORTHPORT OPCO LLC,NORTHPORT,AL,354765230,"$   94,037.68",NO
7TH WELLNESS LLC,CALERA,AL,350401427,$   500.00,NO
A NEW DIRECTION BREAKING THE CYCLE OF POVERTY,MONTGOMERY,AL,361174432,$   500.00,NO
"ADVANCED CARDIOVASCULAR, LLC",ALEXANDER CITY,AL,350104413,"$   78,089.56",YES
"ADVANCED DYSPHAGIA SERVICES, LLC",DOTHAN,AL,363032951,"$   4,708.61",YES
ADVANCED EMS INC,ANDALUSIA,AL,364201231,"$   97,624.50",YES
"AFFILIATED DERMATOLOGY, PC",DOTHAN,AL,363051051,"$   91,105.20",NO
AFFINITY GASTROENTEROLOGY ASC LLC,BIRMINGHAM,AL,352433406,"$   2,078.75",NO
AFFINITY HOSPITAL LLC,BIRMINGHAM,AL,352433326,"$   3,109,108.29",NO
AFFINITY ORTHOPEDIC SPECIALISTS LLC,VESTAVIA,AL,352432317,"$   21,184.30",YES
AGAPE MEDICINE LLC,BOAZ,AL,359570720,$   870.54,YES
"AKINS MEDICAL CLINIC, PC",GADSDEN,AL,359020629,$   500.00,NO
ALABAMA ASSOCIATES CHIROPRACTIC CLINIC INC.,FORT PAYNE,AL,35967,"$   1,673.15",YES
ALABAMA COASTAL RADIOLOGY PC,MOBILE,AL,366910369,"$   92,360.18",YES
"ALABAMA DENTAL PROFESSIONALS, PC",ATHENS,AL,35611,"$   1,645.90",YES
ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,MONTGOMERY,AL,361300001,"$   3,726,624.32",YES
ALABAMA FYZICAL,TUSCALOOSA,AL,354062283,$   500.00,NO
ALABAMA HOME RESPIRATORY INC,GREENSBORO,AL,367441502,"$   11,857.48",YES
"ALABAMA MULTI-SPECIALTY GROUP, PC",TUSCALOOSA,AL,354062804,"$   7,245.88",NO
ALABAMA NEUROLOGY ASSOCIATES,BIRMINGHAM,AL,352094111,"$   26,535.93",NO
ALABAMA ORTHOPEDIC SPINE & SPORTS MEDICINE ASSOCIATES P C,BIRMINGHAM,AL,352353134,"$   66,453.19",YES
ALABAMA PATHOLOGY ASSOCIATES,MONTGOMERY,AL,361173507,"$   41,074.04",NO
"ALABAMA VASCULAR SOLUTIONS, LLC",ALABASTER,AL,350078617,"$   10,086.14",NO
"ALABAMA VISION CENTER, LLC",BIRMINGHAM,AL,35213,"$   24,699.66",YES
"ALABAMA WELLNESS AND RECOVERY SERVICES, LLC",BIRMINGHAM,AL,352424654,$   500.00,NO
"ALAN M. ALLGOOD DMD, P.C.",FAIRHOPE,AL,36532,$   500.00,YES
"ALBERTVILLE HEALTHCARE CENTER, INC.",ALBERTVILLE,AL,359514014,"$   573,930.38",YES
ALFRED D TROTTER MD,GUNTERSVILLE,AL,359767366,"$   6,455.44",YES
ALH HOSPITALIST,ATHENS,AL,356120999,"$   26,719.76",YES
"ALICEVILLE MANOR NURSING HOME, INC",ALICEVILLE,AL,354421426,"$   197,905.29",YES
"ALLSOUTH URGENT CARE CLINIC, INC.",DOTHAN,AL,363031880,"$   16,953.32",NO
ALPHA & OMEGA HEALTH CARE PROVIDERS,HUNTSVILLE,AL,358146038,$   558.83,YES
ALPHA HOSPITALIST SERVICES,GADSDEN,AL,359015306,"$   22,309.57",YES
ALTAPOINTE HEALTH SYSTEMS INC,MOBILE,AL,366933316,"$   175,697.04",YES
"ALTOONA HEALTH & REHAB, INC.",ALTOONA,AL,359528405,"$   14,597.36",YES
"AM MEDICAL, LLC",FAIRHOPE,AL,365326350,"$   2,106.55",NO
AMMA HEALTH CARE CLINIC LLC,SCOTTSBORO,AL,357680278,"$   4,910.23",YES
AMY REBECCA PLAYER,HUNTSVILLE,AL,358083007,$   500.00,NO
ANDALUSIA EYE CLINIC LLC,ANDALUSIA,AL,364201226,"$   64,337.15",YES
ANDALUSIA MANOR LLC,ANDALUSIA,AL,364205299,"$   347,303.77",YES
ANDERSON PHYSICIAN ALLIANCE INC,BUTLER,AL,369042728,"$   145,471.45",YES
ANDREA D SIMS OD PC,JASPER,AL,355013965,"$   4,066.46",YES
ANESTHESIA CONSULTANTS MEDICAL GROUP PC,DOTHAN,AL,363013030,"$   92,876.01",YES
ANESTHESIOLOGISTS ASSOCIATED PC,BIRMINGHAM,AL,352830550,"$   248,035.45",NO
"ANGELA M. MARTIN, M.D. F.A.A.P",ANNISTON,AL,362076012,"$   7,162.94",YES
ANNISTON EMERG MED SVCS,ANNISTON,AL,362013836,"$   23,129.50",YES
"ANNISTON HEALTH AND REHAB SERVICES, LLC",BIRMINGHAM,AL,352425451,"$   17,989.80",NO
"ANNISTON PEDIATRICS, INC",ANNISTON,AL,362075782,"$   52,780.76",NO
ANTHONY DENTAL SERVICES P.C.,DECATUR,AL,356036300,$   500.00,NO
APPALACHIAN CARDIOVASCULAR ASSOCIATES,FORT PAYNE,AL,359681613,"$   41,105.01",YES
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",OPELIKA,AL,368030068,"$   60,750.33",NO
ARBOR WOODS HEALTH AND REHAB LLC,REFORM,AL,354810400,"$   130,419.60",YES
ARJENNA' PARABASIC TRANSPORT LLC,MONTEVALLO,AL,351159109,"$   6,509.98",NO
"ARLINGTON REHABILITATION & HEALTHCARE CENTER, LLC",BIRMINGHAM,AL,352111619,"$   21,331.54",NO
ASHFORD AMBULANCE AND RESCUE SQUAD,ASHFORD,AL,363120368,"$   1,772.16",NO
ASHLAND PHARMACY INC,ASHLAND,AL,362510487,"$   1,172.76",YES
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",MOBILE,AL,366073408,"$   22,284.07",NO
"ASHVILLE FAMILY DENTISTRY, LLC",ASHVILLE,AL,359530129,$   500.00,NO
"ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER, LLC",VESTAVIA,AL,352432331,"$   77,460.85",NO
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",HOOVER,AL,352263732,"$   58,968.38",NO
"ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA, LLC",NORTHPORT,AL,354763360,"$   151,527.69",YES
ATHENS AND LIMESTONE COUNTY HEALTHCARE AUTHORITY,ATHENS,AL,356120999,"$   21,561.36",YES
ATHENS HEALTH AND REHABILITATION LLC,ATHENS,AL,356112460,"$   352,140.18",YES
ATHENS LIMESTONE HEALTH SERVICES,ATHENS,AL,356120999,"$   128,023.07",YES
ATHENS LIMESTONE HEALTH SERVICES,HARVEST,AL,357496211,"$   10,824.31",NO
ATHENS LIMESTONE PAIN CENTER,ATHENS,AL,356112451,"$   3,708.82",YES
ATHENS LIMESTONE SLEEP CLINIC,ATHENS,AL,356111419,"$   2,986.66",YES
ATHENS NEUROLOGICAL,ATHENS,AL,356121047,$   500.00,YES
ATHENS-LIMESTONE ER PHYSICIANS,ATHENS,AL,356120999,"$   77,269.28",YES
"ATMORE NURSING CENTER, LLC",ATMORE,AL,365023113,"$   244,873.09",YES
"ATTENTUS MOULTON, LLC",MOULTON,AL,356501256,"$   250,665.16",YES
AUBURN PRIMARY CARE LLC,AUBURN,AL,368305789,"$   2,460.59",NO
AXEL K OLSON MD PC,BIRMINGHAM,AL,352131947,$   657.03,NO
AZALEA HEALTH AND REHAB LLC,MOBILE,AL,366073508,"$   6,595.44",NO
"AZALEA HEALTH CARE, INC.",MOBILE,AL,366021112,"$   2,141.25",NO
B & A CHILDRENS CLINIC PC,BOAZ,AL,359575854,"$   143,199.71",YES
"BABI PEDIATRICS,PC DBA PEDS459",BESSEMER,AL,350225655,"$   4,159.53",NO
"BAINBRIDGE ANESTHESIOLOGY, PC",MONTGOMERY,AL,361235019,"$   10,392.79",YES
BALDWIN COUNTY TRANSITIONAL CARE LLC,FAIRHOPE,AL,365330587,"$   1,626.10",YES
BALDWIN HEALTH AND REHAB LLC,FAIRHOPE,AL,365328301,"$   20,343.79",NO
BALL HEALTHCARE DALLAS LLC,SELMA,AL,367032825,"$   196,662.70",YES
BALL HEALTHCARE EASTVIEW INC,BIRMINGHAM,AL,352064425,"$   7,172.51",NO
